gage,streamorde,STATEFP,NAME,CASC,n_comid,total_length
yes,6,09,Connecticut,Northeast,3,212.456
yes,6,12,Florida,Southeast,3,102.371
yes,6,13,Georgia,Southeast,29,18270.560999999998
yes,6,16,Idaho,Northwest,47,53157.222
yes,6,17,Illinois,Midwest,24,52943.581
yes,6,18,Indiana,Midwest,11,13599.795
yes,6,19,Iowa,Midwest,33,84488.834
yes,6,20,Kansas,North Central,40,105225.994
yes,6,21,Kentucky,Northeast,29,72522.484
yes,6,22,Louisiana,South Central,12,2826.338
yes,6,23,Maine,Northeast,6,706.492
yes,6,24,Maryland,Northeast,4,1408.972
yes,6,25,Massachusetts,Northeast,2,313.96799999999996
yes,6,26,Michigan,Midwest,25,2318.098
yes,6,27,Minnesota,Midwest,21,49593.729
yes,6,28,Mississippi,Southeast,23,11117.655999999999
yes,6,29,Missouri,Midwest,27,56716.606
yes,6,30,Montana,North Central,43,185571.30299999999
yes,6,31,Nebraska,North Central,18,56154.744999999995
yes,6,32,Nevada,Southwest,10,6214.927
yes,6,33,New Hampshire,Northeast,6,1437.914
yes,6,34,New Jersey,Northeast,8,1177.114
yes,6,35,New Mexico,South Central,19,38067.555
yes,6,36,New York,Northeast,27,13355.948
yes,6,37,North Carolina,Southeast,18,6347.827
yes,6,38,North Dakota,North Central,15,47670.913
yes,6,39,Ohio,Midwest,14,30679.527
yes,6,40,Oklahoma,South Central,44,80569.144
yes,6,41,Oregon,Northwest,22,9595.208
yes,6,42,Pennsylvania,Northeast,40,53014.252
yes,6,45,South Carolina,Southeast,20,5811.84
yes,6,46,South Dakota,North Central,19,72266.23300000001
yes,6,47,Tennessee,Southeast,25,55354.560000000005
yes,6,48,Texas,South Central,55,25848.142
yes,6,49,Utah,Southwest,16,17782.445
yes,6,51,Virginia,Northeast,19,11320.531
yes,6,53,Washington,Northwest,17,10745.667
yes,6,54,West Virginia,Northeast,11,25601.099
yes,6,55,Wisconsin,Midwest,25,48387.119
yes,6,56,Wyoming,North Central,19,68126.588
yes,7,01,Alabama,Southeast,10,4770.332
yes,7,04,Arizona,Southwest,10,8893.316
yes,7,05,Arkansas,Southeast,9,10695.244
yes,7,06,California,Southwest,14,1416.508
yes,7,08,Colorado,North Central,7,17137.579
yes,7,12,Florida,Southeast,3,259.839
yes,7,13,Georgia,Southeast,12,5026.756
yes,7,16,Idaho,Northwest,18,25497.047
yes,7,17,Illinois,Midwest,15,33224.618
yes,7,18,Indiana,Midwest,5,10063.774
yes,7,19,Iowa,Midwest,13,33231.756
yes,7,20,Kansas,North Central,22,54721.714
yes,7,21,Kentucky,Northeast,3,5897.097
yes,7,22,Louisiana,South Central,1,530.834
yes,7,23,Maine,Northeast,1,91.17
yes,7,24,Maryland,Northeast,2,208.746
yes,7,25,Massachusetts,Northeast,1,58.81
yes,7,26,Michigan,Midwest,1,31.753
yes,7,27,Minnesota,Midwest,13,27276.345
yes,7,28,Mississippi,Southeast,8,4484.912
yes,7,29,Missouri,Midwest,9,19340.553
yes,7,30,Montana,North Central,27,125822.381
yes,7,31,Nebraska,North Central,4,12974.715
yes,7,32,Nevada,Southwest,9,3825.841
yes,7,33,New Hampshire,Northeast,1,110.034
yes,7,35,New Mexico,South Central,23,48956.875
yes,7,36,New York,Northeast,1,250.272
yes,7,37,North Carolina,Southeast,6,1399.95
yes,7,38,North Dakota,North Central,5,1364.11
yes,7,39,Ohio,Midwest,11,24156.791
yes,7,40,Oklahoma,South Central,11,18927.834
yes,7,41,Oregon,Northwest,5,3225.9860000000003
yes,7,42,Pennsylvania,Northeast,7,13089.243
yes,7,45,South Carolina,Southeast,11,1874.1860000000001
yes,7,46,South Dakota,North Central,17,60528.96
yes,7,47,Tennessee,Southeast,3,6008.605
yes,7,48,Texas,South Central,35,31774.138
yes,7,49,Utah,Southwest,6,8506.637
yes,7,51,Virginia,Northeast,4,1398.7649999999999
yes,7,53,Washington,Northwest,7,5808.4439999999995
yes,7,55,Wisconsin,Midwest,1,2827.782
yes,7,56,Wyoming,North Central,9,32719.827
yes,8,04,Arizona,Southwest,8,4453.11
yes,8,05,Arkansas,Southeast,4,5166.121
yes,8,12,Florida,Southeast,4,392.83000000000004
yes,8,16,Idaho,Northwest,4,4873.188
yes,8,17,Illinois,Midwest,3,5771.685
yes,8,18,Indiana,Midwest,3,5985.463
yes,8,19,Iowa,Midwest,1,2390.898
yes,8,20,Kansas,North Central,9,23300.796
yes,8,21,Kentucky,Northeast,4,8567.328
yes,8,22,Louisiana,South Central,2,206.03099999999998
yes,8,27,Minnesota,Midwest,7,20364.572
yes,8,30,Montana,North Central,8,33788.61
yes,8,31,Nebraska,North Central,9,27263.394
yes,8,32,Nevada,Southwest,1,638.354
yes,8,35,New Mexico,South Central,4,9221.119
yes,8,39,Ohio,Midwest,2,5522.472
yes,8,40,Oklahoma,South Central,5,8453.556
yes,8,41,Oregon,Northwest,1,905.661
yes,8,42,Pennsylvania,Northeast,1,3109.103
yes,8,48,Texas,South Central,10,7155.85
yes,8,49,Utah,Southwest,4,6960.948
yes,8,53,Washington,Northwest,8,7861.116
yes,8,54,West Virginia,Northeast,1,2919.452
yes,8,55,Wisconsin,Midwest,1,2740.625
yes,9,04,Arizona,Southwest,8,2917.557
yes,9,05,Arkansas,Southeast,2,2678.214
yes,9,06,California,Southwest,3,326.04
yes,9,17,Illinois,Midwest,3,5252.53
yes,9,19,Iowa,Midwest,3,8657.257
yes,9,20,Kansas,North Central,2,4932.193
yes,9,21,Kentucky,Northeast,2,3415.861
yes,9,29,Missouri,Midwest,14,32044.532
yes,9,31,Nebraska,North Central,5,14202.811
yes,9,38,North Dakota,North Central,1,3979.18
yes,9,40,Oklahoma,South Central,1,1485.281
yes,9,41,Oregon,Northwest,2,457.529
yes,9,53,Washington,Northwest,2,240.243
yes,10,05,Arkansas,Southeast,1,1203.264
yes,10,17,Illinois,Midwest,3,5209.92
yes,10,22,Louisiana,South Central,3,1244.5
yes,10,28,Mississippi,Southeast,1,709.972
yes,10,29,Missouri,Midwest,3,4924.394
yes,10,47,Tennessee,Southeast,1,1203.264
